 Input File ,   id   ,    Differences (COLUMN_NAME)    ,past_due_31_90,past_due_1_30,past_due_91_plus


 INPUT-1 ,299863,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,299863,ENTRY PRESENT,0,0,3077

 INPUT-1 ,300020,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,300020,ENTRY PRESENT,0,0,55

 INPUT-1 ,300164,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,300164,ENTRY PRESENT,0,0,18

 INPUT-1 ,300729,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,300729,ENTRY PRESENT,0,0,126.7

 INPUT-1 ,300761,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,300761,ENTRY PRESENT,0,0,609

 INPUT-1 ,301028,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,301028,ENTRY PRESENT,0,0,524

 INPUT-1 ,301247,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,301247,ENTRY PRESENT,0,0,89.7

 INPUT-1 ,301442,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,301442,ENTRY PRESENT,0,0,1481


 INPUT-1 ,301753,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,301753,ENTRY PRESENT,0,0,1931.7

 INPUT-1 ,301936,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,301936,ENTRY PRESENT,0,0,42

 INPUT-1 ,302083,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,302083,ENTRY PRESENT,0,0,131


 INPUT-1 ,302803,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,302803,ENTRY PRESENT,0,0,2648

 INPUT-1 ,302839,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,302839,ENTRY PRESENT,0,0,1003

 INPUT-1 ,302853,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,302853,ENTRY PRESENT,0,0,10

 INPUT-1 ,302887,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,302887,ENTRY PRESENT,0,0,591

 INPUT-1 ,303082,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,303082,ENTRY PRESENT,0,0,391.03


 INPUT-1 ,303716,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,303716,ENTRY PRESENT,0,0,348.2

 INPUT-1 ,304019,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,304019,ENTRY PRESENT,0,0,68

 INPUT-1 ,304124,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,304124,ENTRY PRESENT,0,0,82

 INPUT-1 ,304386,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,304386,ENTRY PRESENT,0,0,115

 INPUT-1 ,304473,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,304473,ENTRY PRESENT,0,0,38


 INPUT-1 ,304721,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,304721,ENTRY PRESENT,0,0,315

 INPUT-1 ,304733,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,304733,ENTRY PRESENT,0,0,562.5

 INPUT-1 ,304881,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,304881,ENTRY PRESENT,0,0,1923.3

 INPUT-1 ,305395,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,305395,ENTRY PRESENT,0,0,65

 INPUT-1 ,305551,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,305551,ENTRY PRESENT,0,0,31

 INPUT-1 ,305602,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,305602,ENTRY PRESENT,0,0,169.8

 INPUT-1 ,305820,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,305820,ENTRY PRESENT,0,0,225.5


 INPUT-1 ,305921,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,305921,ENTRY PRESENT,0,0,574

 INPUT-1 ,306162,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306162,ENTRY PRESENT,0,0,258

 INPUT-1 ,306409,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306409,ENTRY PRESENT,0,0,326.5

 INPUT-1 ,306414,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306414,ENTRY PRESENT,0,0,124

 INPUT-1 ,306436,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306436,ENTRY PRESENT,0,0,84.64

 INPUT-1 ,306486,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306486,ENTRY PRESENT,0,0,7

 INPUT-1 ,306592,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306592,ENTRY PRESENT,0,0,636

 INPUT-1 ,306595,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306595,ENTRY PRESENT,0,0,36

 INPUT-1 ,306897,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306897,ENTRY PRESENT,0,0,94

 INPUT-1 ,306964,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,306964,ENTRY PRESENT,0,0,1335

 INPUT-1 ,307158,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,307158,ENTRY PRESENT,0,0,1881

 INPUT-1 ,307195,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,307195,ENTRY PRESENT,0,0,870

 INPUT-1 ,307469,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,307469,ENTRY PRESENT,0,0,1377

 INPUT-1 ,307595,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,307595,ENTRY PRESENT,0,0,81

 INPUT-1 ,307911,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,307911,ENTRY PRESENT,0,0,356


 INPUT-1 ,308810,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,308810,ENTRY PRESENT,0,0,455

 INPUT-1 ,309528,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,309528,ENTRY PRESENT,0,0,18


 INPUT-1 ,310197,67.92 (past_due_91_plus),0,0,67.92
 INPUT-2 ,310197,262 (past_due_91_plus),0,0,262


 INPUT-1 ,310880,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,310880,ENTRY PRESENT,0,0,150.5

 INPUT-1 ,311195,197.75 (past_due_91_plus),0,0,197.75
 INPUT-2 ,311195,1977.5 (past_due_91_plus),0,0,1977.5

 INPUT-1 ,311214,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,311214,ENTRY PRESENT,0,0,1946

 INPUT-1 ,311405,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,311405,ENTRY PRESENT,0,0,3398.5

 INPUT-1 ,311839,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,311839,ENTRY PRESENT,0,0,117.47

 INPUT-1 ,312271,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,312271,ENTRY PRESENT,0,0,231.2

 INPUT-1 ,313034,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,313034,ENTRY PRESENT,0,0,1296

 INPUT-1 ,313165,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,313165,ENTRY PRESENT,0,0,102

 INPUT-1 ,313516,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,313516,ENTRY PRESENT,0,0,2714

 INPUT-1 ,313775,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,313775,ENTRY PRESENT,0,0,118.7

 INPUT-1 ,313916,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,313916,ENTRY PRESENT,0,0,463.2

 INPUT-1 ,314120,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,314120,ENTRY PRESENT,0,0,372.5

 INPUT-1 ,314258,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,314258,ENTRY PRESENT,0,0,1194

 INPUT-1 ,314770,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,314770,ENTRY PRESENT,0,0,54.63

 INPUT-1 ,314772,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,314772,ENTRY PRESENT,0,0,259

 INPUT-1 ,314935,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,314935,ENTRY PRESENT,0,0,422

 INPUT-1 ,314991,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,314991,ENTRY PRESENT,0,0,1359

 INPUT-1 ,315175,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,315175,ENTRY PRESENT,0,0,449

 INPUT-1 ,315200,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,315200,ENTRY PRESENT,0,0,913

 INPUT-1 ,315672,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,315672,ENTRY PRESENT,0,0,160.97

 INPUT-1 ,315733,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,315733,ENTRY PRESENT,0,0,1905.8


 INPUT-1 ,316001,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,316001,ENTRY PRESENT,0,0,3

 INPUT-1 ,316043,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,316043,ENTRY PRESENT,0,0,1700


 INPUT-1 ,316327,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,316327,ENTRY PRESENT,0,0,39

 INPUT-1 ,316457,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,316457,ENTRY PRESENT,0,0,332.3

 INPUT-1 ,316751,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,316751,ENTRY PRESENT,0,0,0.04

 INPUT-1 ,316781,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,316781,ENTRY PRESENT,0,0,224

 INPUT-1 ,317401,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,317401,ENTRY PRESENT,0,0,143

 INPUT-1 ,317659,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,317659,ENTRY PRESENT,0,0,86.8


 INPUT-1 ,319037,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,319037,ENTRY PRESENT,0,0,0.28


 INPUT-1 ,319634,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,319634,ENTRY PRESENT,0,0,26


 INPUT-1 ,319976,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,319976,ENTRY PRESENT,0,0,424

 INPUT-1 ,319978,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,319978,ENTRY PRESENT,0,0,617

 INPUT-1 ,320001,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,320001,ENTRY PRESENT,0,0,3064

 INPUT-1 ,320226,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,320226,ENTRY PRESENT,0,0,472.6

 INPUT-1 ,320233,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,320233,ENTRY PRESENT,0,0,811.34

 INPUT-1 ,320255,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,320255,ENTRY PRESENT,0,0,550.8

 INPUT-1 ,320288,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,320288,ENTRY PRESENT,0,0,172.2

 INPUT-1 ,320318,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,320318,ENTRY PRESENT,0,0,202.5

 INPUT-1 ,320639,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,320639,ENTRY PRESENT,0,0,1446

 INPUT-1 ,321107,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,321107,ENTRY PRESENT,0,0,343.2


 INPUT-1 ,321462,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,321462,ENTRY PRESENT,0,0,1784

 INPUT-1 ,321563,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,321563,ENTRY PRESENT,0,0,480

 INPUT-1 ,321761,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,321761,ENTRY PRESENT,0,0,140.7

 INPUT-1 ,321818,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,321818,ENTRY PRESENT,0,0,34


 INPUT-1 ,322794,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,322794,ENTRY PRESENT,0,0,44

 INPUT-1 ,323124,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,323124,ENTRY PRESENT,0,0,209

 INPUT-1 ,323148,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,323148,ENTRY PRESENT,0,0,116

 INPUT-1 ,323439,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,323439,ENTRY PRESENT,0,0,124

 INPUT-1 ,323550,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,323550,ENTRY PRESENT,0,0,587

 INPUT-1 ,323641,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,323641,ENTRY PRESENT,0,0,172.7

 INPUT-1 ,323791,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,323791,ENTRY PRESENT,0,0,106


 INPUT-1 ,323950,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,323950,ENTRY PRESENT,0,0,102

 INPUT-1 ,324276,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,324276,ENTRY PRESENT,0,0,1891

 INPUT-1 ,325133,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,325133,ENTRY PRESENT,0,0,8

 INPUT-1 ,325560,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,325560,ENTRY PRESENT,0,0,7

 INPUT-1 ,326024,0 (past_due_1_30),0,0,1254
 INPUT-2 ,326024,1254 (past_due_1_30),0,1254,0
 INPUT-1 ,326024,1254 (past_due_91_plus),0,0,1254
 INPUT-2 ,326024,0 (past_due_91_plus),0,1254,0

 INPUT-1 ,326227,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,326227,ENTRY PRESENT,0,0,3507


 INPUT-1 ,326434,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,326434,ENTRY PRESENT,0,0,895

 INPUT-1 ,327301,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,327301,ENTRY PRESENT,0,0,36.8

 INPUT-1 ,327751,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,327751,ENTRY PRESENT,0,0,127

 INPUT-1 ,328014,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,328014,ENTRY PRESENT,0,0,52


 INPUT-1 ,328661,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,328661,ENTRY PRESENT,0,0,9

 INPUT-1 ,329436,ENTRY PRESENT,0,0,118.75
 INPUT-2 ,329436,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT

 INPUT-1 ,330559,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,330559,ENTRY PRESENT,0,0,83


 INPUT-1 ,331077,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,331077,ENTRY PRESENT,0,0,30

 INPUT-1 ,331514,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,331514,ENTRY PRESENT,0,0,6



 INPUT-1 ,333100,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,333100,ENTRY PRESENT,0,0,1598


 INPUT-1 ,333640,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,333640,ENTRY PRESENT,0,0,39

 INPUT-1 ,333737,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,333737,ENTRY PRESENT,0,0,3

 INPUT-1 ,333853,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,333853,ENTRY PRESENT,0,0,9

 INPUT-1 ,335714,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,335714,ENTRY PRESENT,0,0,763.3

 INPUT-1 ,335779,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,335779,ENTRY PRESENT,0,0,217.2

 INPUT-1 ,335829,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,335829,ENTRY PRESENT,0,0,2685

 INPUT-1 ,336335,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,336335,ENTRY PRESENT,0,0,209

 INPUT-1 ,336338,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,336338,ENTRY PRESENT,0,0,1569

 INPUT-1 ,336510,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,336510,ENTRY PRESENT,0,0,1200

 INPUT-1 ,336856,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,336856,ENTRY PRESENT,0,0,1

 INPUT-1 ,336893,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,336893,ENTRY PRESENT,0,0,800

 INPUT-1 ,337258,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,337258,ENTRY PRESENT,0,0,1189



 INPUT-1 ,339702,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,339702,ENTRY PRESENT,0,0,152


 INPUT-1 ,341128,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,341128,ENTRY PRESENT,0,0,75

 INPUT-1 ,342345,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,342345,ENTRY PRESENT,0,0,544.75


 INPUT-1 ,342447,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,342447,ENTRY PRESENT,0,0,3

 INPUT-1 ,342535,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,342535,ENTRY PRESENT,0,0,434.5



 INPUT-1 ,343304,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,343304,ENTRY PRESENT,0,0,668


 INPUT-1 ,343563,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,343563,ENTRY PRESENT,0,0,229.78

 INPUT-1 ,344493,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,344493,ENTRY PRESENT,0,0,72

 INPUT-1 ,344501,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,344501,ENTRY PRESENT,0,0,132


 INPUT-1 ,344763,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,344763,ENTRY PRESENT,0,0,1548

 INPUT-1 ,345330,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,345330,ENTRY PRESENT,0,0,1062.76

 INPUT-1 ,345527,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,345527,ENTRY PRESENT,0,0,0.04


 INPUT-1 ,345697,8 (past_due_91_plus),0,0,8
