 Input File ,   id   ,    Differences (COLUMN_NAME)    ,past_due_31_90,past_due_1_30,past_due_91_plus
 INPUT-1 ,4859,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,4859,ENTRY PRESENT,0,0,300

 INPUT-1 ,4895,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,4895,ENTRY PRESENT,0,0,232

 INPUT-1 ,5122,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5122,ENTRY PRESENT,0,0,106.97

 INPUT-1 ,5139,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5139,ENTRY PRESENT,0,0,10.28

 INPUT-1 ,5309,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5309,ENTRY PRESENT,0,0,409

 INPUT-1 ,5381,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5381,ENTRY PRESENT,0,0,612

 INPUT-1 ,5507,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5507,ENTRY PRESENT,0,0,319

 INPUT-1 ,5670,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5670,ENTRY PRESENT,0,0,171

 INPUT-1 ,5736,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5736,ENTRY PRESENT,0,0,15

 INPUT-1 ,5796,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5796,ENTRY PRESENT,0,0,491

 INPUT-1 ,5852,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,5852,ENTRY PRESENT,0,0,574

 INPUT-1 ,6054,30 (past_due_91_plus),0,0,30
 INPUT-2 ,6054,1404 (past_due_91_plus),0,0,1404

 INPUT-1 ,6078,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6078,ENTRY PRESENT,0,0,551

 INPUT-1 ,6234,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6234,ENTRY PRESENT,0,0,79.75

 INPUT-1 ,6269,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6269,ENTRY PRESENT,0,0,270

 INPUT-1 ,6353,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6353,ENTRY PRESENT,0,0,860

 INPUT-1 ,6376,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6376,ENTRY PRESENT,0,0,303

 INPUT-1 ,6380,ENTRY PRESENT,0,0,56.58
 INPUT-2 ,6380,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT

 INPUT-1 ,6432,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6432,ENTRY PRESENT,0,0,843

 INPUT-1 ,6438,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6438,ENTRY PRESENT,0,0,246


 INPUT-1 ,6575,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6575,ENTRY PRESENT,0,0,8

 INPUT-1 ,6822,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,6822,ENTRY PRESENT,0,0,1469

 INPUT-1 ,7033,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7033,ENTRY PRESENT,0,0,90.8

 INPUT-1 ,7138,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
